Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,24.780001,25.150000,24.540001,24.719999,24.719999,104300
2019-11-27,24.790001,25.240000,24.612000,25.090000,25.090000,49300
2019-11-29,25.059999,26.000000,24.900000,25.940001,25.940001,46900
2019-12-02,26.000000,26.240000,24.030001,24.870001,24.870001,78500
2019-12-03,24.540001,25.910000,24.100000,25.219999,25.219999,67000
2019-12-04,25.219999,25.490000,24.040001,24.600000,24.600000,67900
2019-12-05,24.700001,25.219999,24.100000,25.120001,25.120001,61300
2019-12-06,25.190001,26.190001,25.160000,25.639999,25.639999,41400
2019-12-09,25.980000,25.980000,25.000000,25.090000,25.090000,29400
2019-12-10,25.090000,25.500000,24.146000,25.139999,25.139999,41200
2019-12-11,25.200001,25.379999,24.730000,25.120001,25.120001,33000
2019-12-12,25.120001,25.549999,24.200001,24.790001,24.790001,54200
2019-12-13,24.840000,25.975000,24.700001,25.610001,25.610001,28800
2019-12-16,25.760000,26.180000,25.570000,25.889999,25.889999,34000
2019-12-17,25.820000,25.910000,24.110001,25.040001,25.040001,71700
2019-12-18,25.020000,25.830000,24.740000,25.540001,25.540001,75300
2019-12-19,25.520000,26.809999,25.020000,26.620001,26.620001,49700
2019-12-20,26.610001,27.299999,25.995001,27.080000,27.080000,55800
2019-12-23,27.000000,28.503000,26.400000,28.320000,28.320000,78000
2019-12-24,28.330000,28.799999,27.799999,28.760000,28.760000,60600
2019-12-26,28.700001,28.700001,28.000000,28.070000,28.070000,40100
2019-12-27,28.110001,28.110001,26.783001,27.070000,27.070000,81800
2019-12-30,26.959999,27.809999,25.950001,26.309999,26.309999,69700
2019-12-31,26.200001,26.440001,25.240000,25.450001,25.450001,49000
2020-01-02,25.690001,27.340000,25.549999,27.110001,27.110001,57800
2020-01-03,26.719999,27.270000,26.120001,26.490000,26.490000,56800
2020-01-06,26.070000,28.035000,26.070000,27.830000,27.830000,51000
2020-01-07,27.990000,28.350000,27.299999,27.860001,27.860001,71000
2020-01-08,27.860001,28.790001,27.030001,28.780001,28.780001,78500
2020-01-09,27.000000,27.257999,23.631001,25.620001,25.620001,345700
2020-01-10,25.719999,25.719999,24.320000,24.900000,24.900000,145200
2020-01-13,24.930000,25.219999,24.010000,24.270000,24.270000,93000
2020-01-14,24.490000,24.490000,23.422001,23.940001,23.940001,111200
2020-01-15,23.950001,23.959999,23.379999,23.459999,23.459999,53900
