Date,Sears Holdings Corporation,Costco,Walmart,Big 5 Sporting Goods Corporation,Macy
2019-11-26,100.0,100.0,100.0,100.0,100.0
2019-11-27,100.0,99.84066524500949,99.6392314852046,96.76258992805757,100.7156798959011
2019-11-29,100.0,99.52529808542353,99.91609531141714,97.12230215827338,99.6746909564086
2019-12-02,104.76190476190476,98.72195753292915,100.07550717215358,92.80575539568346,100.19518542615485
2019-12-03,100.0,98.15098353973522,99.56371844007519,91.72661870503596,96.74690956408588
2019-12-04,90.47619047619048,98.43314262492176,99.58050172698209,93.16546762589928,96.55172413793105
2019-12-05,85.71428571428572,97.29784083447885,99.55533350859412,93.88489208633094,98.30839297332466
2019-12-06,85.71428571428572,97.91197111645106,100.49500544517149,96.04316546762591,98.56864020819779
2019-12-09,90.47619047619048,97.98168032073033,100.14262857382953,101.07913669064749,100.7156798959011
2019-12-10,95.23809523809524,98.18749462845223,99.95804765570857,110.79136690647483,102.40728692257645
2019-12-11,95.23809523809524,98.0281495826633,99.8405889782601,107.9136690647482,102.14703968770333
2019-12-12,95.23809523809524,98.70535316376821,100.4782280312404,105.39568345323742,102.21210149642161
2019-12-13,90.47619047619048,96.88952486022856,100.92289536164283,103.59712230215828,98.76382563435264
2019-12-16,85.71428571428572,97.43062333789084,101.13264449815179,102.5179856115108,101.69160702667534
2019-12-17,90.47619047619048,98.11113989215045,101.75350026422518,100.71942446043167,104.29408588158752
2019-12-18,95.23809523809524,96.88952486022856,100.56212684684743,103.23741007194245,107.54717631750165
2019-12-19,90.47619047619048,97.50033221020888,100.74670692597186,106.4748201438849,104.61938841899804
2019-12-20,90.47619047619048,97.87212746886628,100.92289536164283,107.19424460431655,105.40013662979831
2019-12-23,90.47619047619048,97.36755003875814,99.86575803564463,107.9136690647482,105.40013662979831
2019-12-24,90.47619047619048,97.67295869316686,100.26847889473146,107.9136690647482,104.87964216005207
2019-12-26,85.71428571428572,98.17090055008964,100.27686466520908,108.27338129496404,107.6122381262199
2019-12-27,85.71428571428572,97.63311471362086,100.33559358443503,108.63309352517986,107.4170461938842
2019-12-30,80.95238095238095,97.97504474754498,100.17618927466752,106.83453237410073,109.10865322055953
2019-12-31,80.95238095238095,97.57005137332531,99.70634617490818,107.9136690647482,110.60507482108004
2020-01-02,90.47619047619048,96.76337793000192,99.79025086349105,108.9928057553957,107.48210800260247
2020-01-03,95.23809523809524,96.84305559829556,98.90930197316382,108.9928057553957,107.54717631750165
2020-01-06,90.47619047619048,96.86960818183536,98.70794531910487,116.18705035971225,111.25569290826287
2020-01-07,90.47619047619048,96.71690866806894,97.79343572793965,112.9496402877698,114.96421600520496
2020-01-08,90.47619047619048,97.82565787497205,97.45784214350462,114.3884892086331,117.76187378009111
2020-01-09,90.47619047619048,99.39583818204217,98.46463548175792,113.66906474820145,115.22445673389721
2020-01-10,90.47619047619048,98.67215504820591,97.64241551065668,112.23021582733814,115.87507482108002
2020-01-13,90.47619047619048,99.54521476381673,97.22291723763877,111.51079136690649,116.33050748210799
2020-01-14,95.23809523809524,99.5053810750691,97.47461871843915,146.0431654676259,116.20039687703319
2020-01-15,90.47619047619048,99.86058192340266,96.71952098801039,141.36690647482015,113.3376707872479
2020-01-16,95.23809523809524,100.594213603579,97.23970136354222,142.80575539568346,114.05335718932989
2020-01-17,109.52380952380953,101.14194765442664,96.45104209327891,140.28776978417267,114.31359791802213
2020-01-21,119.04761904761905,103.990180719366,96.97960740029184,139.92805755395685,110.54001301236174
2020-01-22,119.04761904761905,103.53539548318271,97.40749731676318,138.84892086330936,111.58100195185425
2020-01-23,123.80952380952381,103.86403378913936,97.16418831841281,138.12949640287772,111.06050748210801
2020-01-24,119.04761904761905,103.07728731500757,95.95603748710398,138.48920863309354,109.17372153545871
2020-01-27,171.42857142857144,102.7254090667046,97.20614066270423,140.28776978417267,106.57123617436564
2020-01-28,176.1904761904762,103.1901528080651,97.82699558978109,140.6474820143885,109.75927781392325
2020-01-29,157.14285714285714,102.76855572860696,97.23130888109222,142.0863309352518,109.75927781392325
2020-01-30,147.61904761904762,102.73204463988995,97.81021901484657,144.96402877697844,109.49902407286922
2020-01-31,147.61904761904762,101.42079376645844,96.05671287764555,134.17266187050362,103.77358490566039
2020-02-03,138.09523809523807,100.25229386045326,95.87213279852114,135.61151079136692,107.09173064411192
2020-02-04,142.85714285714286,101.21497945873655,96.71112934455694,135.61151079136692,107.15679245283017
2020-02-05,138.09523809523807,102.55942844773034,98.0031848644486,135.61151079136692,113.5328627195836
2020-02-06,138.09523809523807,103.11047513977145,97.5836865914307,128.05755395683454,110.27977228366949
2020-02-07,133.33333333333334,104.11300471760075,97.70114526887917,123.02158273381296,106.70136629798307
2020-02-10,138.09523809523807,104.16611984351746,96.69435193062586,122.30215827338131,105.5953155497723
2020-02-11,133.33333333333334,103.13371508211777,96.82020309052432,121.58273381294966,106.44112556929083
2020-02-12,133.33333333333334,104.60762364253166,97.19774818025424,120.50359712230217,110.60507482108004
2020-02-13,128.57142857142858,105.63006989875416,98.53175604443734,121.22302158273382,108.91346779440468
2020-02-14,133.33333333333334,105.66658098747116,98.90930197316382,127.33812949640289,108.45803513337673
2020-02-18,133.33333333333334,106.90811269778624,100.36915428527301,127.33812949640289,104.55432661027977
2020-02-19,123.80952380952381,107.23011543055756,98.73311353749284,128.05755395683454,105.98569290826285
2020-02-20,128.57142857142858,107.58199367886051,98.7415051809463,130.57553956834533,108.262843201041
2020-02-21,128.57142857142858,106.87492454106112,99.48821210691816,128.41726618705036,105.5953155497723
