,,,,,,,,,,,
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
06/20/2020,,98.5,,,,92.9,,,,,
06/27/2020,,101.3,,,,93,,,,,
07/04/2020,,106.5,,,,100.1,,,,,
07/11/2020,,115.7,,,,101.2,,,,,
07/18/2020,,96.8,,,,99.2,,,,,
07/25/2020,,84.1,,,,98.4,,,,,
08/01/2020,,83,,,,98.2,,,,,
08/08/2020,,86.4,,,,96.1,,,,,
08/15/2020,,80.6,,,,95.7,,,,,
08/22/2020,,81.7,,,,93.3,,,,,
08/29/2020,,81.7,,,,90.6,,,,,
09/05/2020,,85.4,,,,86,,,,,
09/12/2020,,74.4,,,,84.8,,,,,
09/19/2020,,81.4,,,,82.8,,,,,
09/26/2020,,79.7,,,,82.4,,,,,
10/03/2020,,85,,,,81.3,,,,,
10/10/2020,,93.9,,,,81.4,,,,,
10/17/2020,,87.3,,,,83.6,,,,,
10/24/2020,,91.6,,,,83.5,,,,,
10/31/2020,,94.4,,,,85,,,,,
11/07/2020,,105.2,,,,85.8,,,,,
11/14/2020,,100.5,,,,90.9,,,,,
11/21/2020,,117.8,,,,86.9,,,,,
11/28/2020,,101.1,,,,100.4,,,,,
12/05/2020,,138.5,,,,98.9,,,,,
12/12/2020,,119.3,,,,104.8,,,,,
12/19/2020,,127.2,,,,101.9,,,,,
12/26/2020,,128.2,,,,115,,,,,
01/02/2021,,154.2,,,,128.2,,,,,
01/09/2021,,171.7,,,,124.6,,,,,
01/16/2021,,130.5,,,,121.1,,,,,
01/23/2021,,110,,,,123.9,,,,,
01/30/2021,,114.5,,,,123.5,,,,,
02/06/2021,,109.7,,,,122.3,,,,,
02/13/2021,,99.5,,,,120,,,,,
02/20/2021,,90.5,,,,124.4,,,,,
02/27/2021,,98.6,,,,121.1,,,,,
03/06/2021,,97.5,,,,117.5,,,,,
03/13/2021,,90.1,,,,116.2,,,,,
03/20/2021,,88.1,,,,113.1,,,,,
03/27/2021,,88.3,,,,110.1,,,,,
04/03/2021,,87.5,,,,106.1,,,,,
,,,,,,,,,,,
Run Date: 4/26/2020,,,,,,,,,,,
