Date,Hilton,Disney,Expedia,Universal,Booking
2020-03-25,72.25,100.730003,65.889999,133.979996,1365.849976
2020-03-26,73.199997,105.360001,64.410004,139.809998,1406.0
2020-03-27,69.150002,96.400002,60.029999,134.059998,1255.150024
2020-03-30,68.68,99.800003,56.389998999999996,137.350006,1308.22998
2020-03-31,68.239998,96.599998,56.27,131.779999,1345.319946
2020-04-01,63.040001000000004,94.91999799999999,52.0,123.400002,1271.630005
2020-04-02,57.860001000000004,96.970001,47.860001000000004,122.650002,1260.0
2020-04-03,55.939999,93.879997,48.709998999999996,118.309998,1230.680054
2020-04-06,63.799999,99.58000200000001,52.830002,130.610001,1356.680054
2020-04-07,65.83000200000001,101.239998,56.509997999999996,134.75,1376.369995
2020-04-08,70.089996,101.07,60.549999,139.520004,1372.060059
2020-04-09,68.449997,104.5,62.419998,138.360001,1420.640015
2020-04-13,66.639999,103.5,58.790001000000004,137.190002,1421.01001
2020-04-14,70.010002,106.029999,61.580002,142.91000400000001,1449.420044
2020-04-15,69.870003,103.370003,60.560001,140.070007,1424.609985
2020-04-16,70.150002,102.019997,58.220001,142.889999,1407.400024
2020-04-17,75.620003,106.629997,63.220001,144.300003,1470.869995
2020-04-20,72.279999,102.260002,59.950001,140.059998,1411.630005
2020-04-21,71.349998,100.540001,57.25,131.53999299999998,1342.219971
2020-04-22,70.790001,100.989998,61.419998,137.91000400000001,1355.0
2020-04-23,71.940002,101.0,63.369999,137.649994,1360.0
2020-04-24,71.370003,101.190002,66.57,138.520004,1362.77002
