Date,Sears Holdings Corporation,Costco,Walmart,Big 5 Sporting Goods Corporation,Macy
2020-04-08,0.13,305.97000099999997,121.839996,0.95,6.01
2020-04-09,0.14,300.01001,121.800003,0.97,6.66
2020-04-13,0.14,299.619995,125.300003,0.96,6.16
2020-04-14,0.14,314.140015,129.0,1.01,6.2
2020-04-15,0.14,310.269989,128.759995,0.97,5.73
2020-04-16,0.14,321.559998,132.330002,0.89,5.76
2020-04-17,0.14,317.920013,132.119995,0.93,5.92
2020-04-20,0.14,312.079987,129.850006,0.98,5.31
2020-04-21,0.14,301.329987,129.21000700000002,0.93,5.22
2020-04-22,0.13,309.420013,131.58999599999999,0.93,4.82
2020-04-23,0.14,305.399994,128.529999,0.94,4.89
2020-04-24,0.14,310.549988,129.440002,0.94,5.02
