Date,Google,Crude_Oil,Gold,Amazon,Silver,Ebay,Slack,MacDonald,Macy,Zoom,HelloFresh
2019-11-26,1313.0,58.41,1459.800049,1626.599976,17.030001000000002,35.75,20.200001,194.009995,15.37,75.160004,20.5
2019-11-27,1312.130005,58.110001000000004,1453.400024,1653.199951,16.912001,35.849998,20.450001,196.300003,15.48,74.08000200000001,20.15
2019-12-02,1288.859985,55.959998999999996,1462.300049,1594.800049,16.836,34.900002,19.58,195.179993,15.4,68.93,20.200001
2019-12-03,1294.73999,56.099998,1478.199951,1584.0,17.125,34.75,20.25,193.119995,14.87,70.019997,20.200001
2019-12-04,1318.939941,58.43,1474.0,1606.400024,16.797001,34.970001,19.780001000000002,194.309998,14.84,69.959999,20.200001
2019-12-05,1326.959961,58.43,1476.900024,1573.0,16.941999,34.790001000000004,20.1,194.21000700000002,15.11,69.66999799999999,20.200001
2019-12-06,1339.390015,59.200001,1459.099976,1580.199951,16.481001000000003,34.860001000000004,20.65,195.350006,15.15,62.740002000000004,20.200001
2019-12-09,1342.98999,59.02,1459.300049,1588.0,16.532,34.57,20.549999,194.679993,15.48,65.940002,20.200001
2019-12-10,1342.890015,59.240002000000004,1462.599976,1574.800049,16.596001,34.720001,20.549999,194.949997,15.74,64.57,20.200001
2019-12-11,1344.25,58.759997999999996,1469.400024,1569.0,16.743999,34.919998,19.219998999999998,194.720001,15.7,63.52,20.200001
2019-12-12,1348.48999,59.18,1466.699951,1579.199951,16.844998999999998,35.310001,18.32,196.309998,15.71,62.490002000000004,20.200001
2019-12-13,1346.869995,60.07,1475.599976,1577.199951,16.912001,35.48,18.82,197.119995,15.18,63.540001000000004,20.200001
2019-12-16,1360.699951,60.209998999999996,1475.0,1581.800049,17.018998999999997,35.400002,19.280001000000002,197.880005,15.63,66.349998,20.200001
2019-12-17,1354.890015,60.939999,1474.599976,1598.400024,16.978001000000003,35.900002,18.879998999999998,196.520004,16.030001000000002,66.16999799999999,20.200001
2019-12-18,1351.910034,60.93,1472.599976,1609.599976,16.952999,35.639998999999996,19.200001,195.630005,16.530001000000002,67.599998,20.200001
2019-12-19,1356.439941,61.220001,1478.199951,1599.800049,17.058001,36.040001000000004,19.26,197.059998,16.08,68.18,20.200001
2019-12-20,1351.219971,60.439999,1474.699951,1623.400024,17.128,36.189999,19.1,197.139999,16.200001,66.93,20.200001
2019-12-23,1350.630005,60.52,1482.5,1616.0,17.403,36.209998999999996,19.299999,196.199997,16.200001,66.150002,20.35
2019-12-27,1354.640015,61.720001,1513.800049,1687.4000239999998,17.849001,36.07,19.719998999999998,198.169998,16.51,66.639999,20.309998999999998
2019-12-30,1339.709961,61.68,1514.5,1662.599976,17.908001000000002,35.799999,19.68,196.91000400000001,16.77,66.790001,20.309998999999998
2020-01-02,1368.680054,61.18,1524.5,1684.0,17.966,36.299999,20.200001,200.78999299999998,16.52,68.720001,20.309998999999998
2020-01-03,1361.52002,63.049999,1549.199951,1675.400024,18.068001000000002,35.959998999999996,20.25,200.080002,16.530001000000002,67.279999,20.309998999999998
2020-01-06,1397.810059,63.27,1566.199951,1689.0,18.097,35.779999,21.049999,202.330002,17.1,70.32,20.309998999999998
2020-01-07,1395.109985,62.700001,1571.800049,1704.4000239999998,18.316,35.619999,21.35,202.630005,17.67,71.900002,20.309998999999998
2020-01-08,1405.040039,59.610001000000004,1557.400024,1711.0,18.087999,35.599998,21.549999,205.91000400000001,18.1,72.550003,20.309998999999998
2020-01-09,1419.790039,59.560001,1551.699951,1725.5999760000002,17.860001,35.18,21.15,208.350006,17.709999,72.620003,22.35
2020-01-10,1428.959961,59.040001000000004,1557.5,1707.4000239999998,18.033001000000002,34.889998999999996,20.85,207.270004,17.809998999999998,73.089996,22.35
2020-01-13,1440.030029,58.080002,1548.400024,1695.4000239999998,17.926001,34.73,20.85,206.509995,17.879998999999998,74.029999,22.35
2020-01-14,1430.589966,58.23,1542.400024,1680.0,17.674,35.349998,20.1,207.320007,17.860001,73.160004,22.35
2020-01-15,1439.199951,57.810001,1552.099976,1677.0,17.923,35.330002,20.75,209.770004,17.42,76.940002,22.35
2020-01-16,1450.160034,58.52,1549.0,1675.0,17.875,35.919998,20.65,210.850006,17.530001000000002,76.110001,23.65
2020-01-17,1479.52002,58.540001000000004,1558.800049,1688.4000239999998,18.013,35.82,20.75,211.979996,17.57,75.559998,23.65
2020-01-21,1482.25,58.34,1556.400024,1683.4000239999998,17.750999,35.720001,20.35,211.16000400000001,16.99,76.730003,25.9
2020-01-22,1483.869995,56.740002000000004,1555.300049,1716.0,17.771,35.889998999999996,20.200001,211.440002,17.15,75.540001,25.709999
2020-01-23,1484.689941,55.59,1564.599976,1701.0,17.773001,35.610001000000004,19.620001000000002,213.419998,17.07,74.470001,25.709999
2020-01-24,1466.170044,54.189999,1571.099976,1714.0,18.056998999999998,35.360001000000004,19.120001000000002,211.24000499999997,16.780001000000002,73.0,25.799999
2020-01-27,1431.72998,53.139998999999996,1576.800049,1664.0,18.0,35.48,18.219998999999998,209.33999599999999,16.379998999999998,70.440002,25.799999
2020-01-28,1450.5,53.48,1569.199951,1670.0,17.402,36.209998999999996,19.18,210.38999900000002,16.870001000000002,71.510002,25.799999
2020-01-29,1456.699951,53.330002,1569.800049,1689.0,17.431,34.580002,18.92,214.440002,16.870001000000002,73.58000200000001,25.18
2020-01-30,1454.25,52.139998999999996,1583.5,1684.0,17.952,35.060001,18.379998999999998,216.17999300000002,16.83,74.540001,24.799999
