Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,1899.699951,1899.750000,1882.020020,1887.459961,1887.459961,329600
2019-11-27,1893.000000,1916.349976,1883.030029,1906.449951,1906.449951,262800
2019-11-29,1904.890015,1910.000000,1899.079956,1904.030029,1904.030029,153600
2019-12-02,1898.209961,1903.489990,1867.760010,1884.439941,1884.439941,400300
2019-12-03,1865.390015,1881.579956,1852.520020,1879.979980,1879.979980,192700
2019-12-04,1894.640015,1929.000000,1879.979980,1921.530029,1921.530029,423600
2019-12-05,1929.000000,1929.000000,1901.510010,1904.219971,1904.219971,362800
2019-12-06,1923.270020,1935.920044,1920.209961,1930.270020,1930.270020,299300
2019-12-09,1928.079956,1928.650024,1903.180054,1905.790039,1905.790039,343100
2019-12-10,1902.400024,1926.400024,1901.579956,1904.630005,1904.630005,238800
2019-12-11,1915.900024,1929.819946,1904.479980,1925.880005,1925.880005,267400
2019-12-12,1930.849976,1959.040039,1924.459961,1948.479980,1948.479980,302400
2019-12-13,1960.869995,1990.000000,1949.079956,1973.599976,1973.599976,395700
2019-12-16,1983.469971,1998.010010,1983.469971,1995.020020,1995.020020,264100
2019-12-17,2000.000000,2011.640015,1991.000000,2001.869995,2001.869995,311300
2019-12-18,2008.670044,2008.670044,1977.770020,1991.510010,1991.510010,379800
2019-12-19,1996.000000,2014.969971,1994.760010,2003.119995,2003.119995,277500
2019-12-20,2017.000000,2025.000000,2002.339966,2023.260010,2023.260010,583200
2019-12-23,2026.010010,2041.500000,2017.680054,2032.099976,2032.099976,219600
2019-12-24,2032.239990,2047.300049,2031.290039,2044.000000,2044.000000,97300
2019-12-26,2049.340088,2068.810059,2047.650024,2064.320068,2064.320068,182600
2019-12-27,2063.000000,2080.989990,2053.649902,2072.540039,2072.540039,280000
2019-12-30,2071.989990,2082.669922,2050.469971,2053.870117,2053.870117,224700
2019-12-31,2046.510010,2057.989990,2039.969971,2053.729980,2053.729980,226900
2020-01-02,2068.399902,2077.409912,2053.219971,2074.580078,2074.580078,329000
2020-01-03,2042.469971,2067.689941,2035.000000,2065.479980,2065.479980,294000
2020-01-06,2050.000000,2059.790039,2035.000000,2047.400024,2047.400024,384000
2020-01-07,2047.390015,2072.830078,2038.540039,2068.050049,2068.050049,345300
2020-01-08,2066.840088,2088.659912,2057.139893,2062.899902,2062.899902,325800
2020-01-09,2072.000000,2090.000000,2072.000000,2084.290039,2084.290039,273800
2020-01-10,2088.370117,2094.000000,2076.939941,2086.899902,2086.899902,198500
2020-01-13,2090.250000,2090.250000,2073.010010,2080.500000,2080.500000,254900
2020-01-14,2074.600098,2086.000000,2067.159912,2071.479980,2071.479980,331700
