,gram,sum
0,covid-19,6660136.0
1,pandemia covid-19,871441.0
2,cases,589577.0
3,dies covid-19,416335.0
4,covid-19 crisis,380571.0
5,covid-19 lockdown,263008.0
6,covid-19 spread,242793.0
7,covid-19 outbreak,241260.0
8,positive covid-19,232695.0
9,covid-19 new,229906.0
10,covid-19 fight,221892.0
11,covid-19 via,216696.0
12,covid-19 response,198004.0
13,new york,194579.0
