Date,Google,Facebook,Amazon,Slack,Microsoft,Zoom
2019-11-26,100.0,100.00000000000001,100.0,100.0,100.0,100.0
2019-11-27,99.93373990860624,101.52284212935196,101.63531140984107,101.23762370110774,100.19075708867169,98.56306287583487
2019-11-29,99.3213987814166,101.34190982890934,101.19267332388058,103.21781667238531,99.57245674914464,99.12186806163555
2019-12-02,98.16146115765423,100.366887468629,98.04500630338138,96.930688270758,98.36874563157761,91.71101161729582
2019-12-03,98.609290936786,99.92461476642401,97.3810416433942,100.24751978972674,98.21087876215799,93.16124703771969
2019-12-04,100.45239459253618,99.86933005041298,98.75814875826606,97.92079218213901,98.56607708061618,93.0814200063108
2019-12-05,101.06321104341202,100.1960094476755,96.70478440975951,99.50494556906212,98.6186897232039,92.69557516255587
2019-12-06,102.00990213252093,101.04538472611256,97.14742249572,102.22771771149912,99.81582648040404,83.4752510124933
2019-12-09,102.28408149276467,101.19113182293243,97.6269533647159,101.73266328056121,99.55929881970204,87.73283460708704
2019-12-10,102.2764672505712,100.95491480647878,96.81544769677286,101.73266328056121,99.40801551935813,85.91005396966183
2019-12-11,102.38004569687737,101.65351258152731,96.45887268843781,95.14850519066805,99.78293626115199,84.51303435268576
2019-12-12,102.7029695354151,98.88425341064355,97.08594456538957,90.69306481717501,100.79589949875616,83.14262729416566
2019-12-13,102.57958834729627,97.55742072896709,96.96298870472872,93.16831221939049,101.64441229786497,84.53964558064686
2019-12-16,103.63289801980198,99.47228074849333,97.24579320908585,95.44554477992354,102.30217721701096,88.27833218316486
2019-12-17,103.19040479817211,99.70849776494698,98.26632531562265,93.46533695716153,101.74965665822307,88.03884310596897
2019-12-18,102.96344508758567,101.77413629303847,98.95487518438277,95.04950519556904,101.53916727974193,89.94145077480304
2019-12-19,103.30844942878905,103.5633497333098,98.35239595503351,95.34652993334011,102.4205801645766,90.71314046231292
2019-12-20,102.91088888042651,103.68397344482096,99.80327357388329,94.55445076463116,103.53877855383003,89.05002187067474
2019-12-23,102.86595620715917,103.62365781965292,99.34833541396782,95.54454477502253,103.53877855383003,88.01223853048225
2019-12-27,103.17136443259709,104.5886339418574,103.73786111503051,97.62375259288352,104.55831615180108,88.6641770269198
2019-12-30,102.034269687738,102.73408200867426,102.21320549189532,97.4257377512011,103.65717097715694,88.86375391890613
2020-01-02,104.2406743335872,105.43297881372581,103.52883467643676,100.0,105.65019802440436,91.43160902439547
2020-01-03,103.69535567402893,104.8751052677534,103.00012595106543,100.24751978972674,104.33466818611238,89.51569374583855
2020-01-06,106.45925811119572,106.85028141503602,103.83622432808889,104.20791068277669,104.60435443402193,93.56039949119746
2020-01-07,106.25361652703734,107.08146802492101,104.78298593064775,105.69306407460078,103.65059727455501,95.66258405201788
2020-01-08,107.00990396039604,108.16706031981172,105.18873879535825,106.68315808499216,105.30158327502191,96.52740705016461
2020-01-09,108.13328552932217,109.7150333732973,106.08631510271216,104.7029651137146,106.61711311331389,96.62054169129634
2020-01-10,108.8316801980198,109.59440966178616,104.96741972163903,103.21781667238531,106.1237894239544,97.24586496828819
2020-01-13,109.67479276466108,111.52937773770229,104.22968455767392,103.21781667238531,107.39985534039239,98.49653414068473
2020-01-14,108.95582376237624,110.09699798915919,103.28292295511505,99.50494556906212,106.64342962996403,97.33901025337892
2020-01-15,109.61157281035796,111.14740558301551,103.09848916412378,102.72276719194221,107.33407490188827,102.36827821350303
2020-01-16,110.44630875856815,111.45901537187007,102.97553330346292,102.22771771149912,109.30079529895937,101.26396613816038
2020-01-17,112.68240822543791,111.64497054005645,103.79933904536094,102.72276719194221,109.9125219358845,100.53218996635498
2020-01-21,112.89032749428789,111.29316021866029,103.49194939370881,100.74256927016985,109.5178590378074,102.08887562060268
2020-01-22,113.0137086824067,111.23285213231716,105.49612844701038,100.0,108.99164512919585,100.5055840603734
2020-01-23,113.0761569687738,110.44880831055534,104.573959492054,97.12871301343006,109.66256797778445,99.0819545459311
2020-01-24,111.66565453160702,109.5341010728547,105.37317258634953,94.65346561121459,108.55751765149981,97.12612575166973
2020-01-27,109.04264889565881,107.99115138970122,102.29927606982825,90.1980103862371,106.7420904212464,93.72006153698449
2020-01-28,110.47220106626047,109.4587083004538,102.66814365181081,94.95049034898562,108.83378812625,95.14369105142677
2020-01-29,110.94439840060929,112.19279030912806,103.83622432808889,93.66336169983359,110.53081240893779,97.8978154391796
2020-01-30,110.75780654988576,105.30733173188253,103.52883467643676,90.99008955494605,113.6486220722793,99.17508918706284
2020-01-31,109.12262216298552,101.47761119024169,112.93495801699189,90.69306481717501,111.97131955516225,101.51676282507916
2020-02-03,112.91698217821782,102.62351157147553,111.29964654567287,91.6831637780612,114.70104988950241,116.63118591638181
2020-02-04,110.0845418126428,105.45810973785944,113.09479916038067,103.21781667238531,118.47661394775118,114.14315651180648
2020-02-05,110.13328629093678,105.59883396693554,114.59486213591337,103.71287110332322,118.33190500777415,115.73974636829449
2020-02-06,112.41203130236102,105.97075184213323,114.22599455393082,103.71287110332322,120.78537539160283,116.09898530606785
2020-02-07,112.65117936024373,106.71458055629202,117.44743957871543,104.20791068277669,120.95639032399124,117.93506423975178
2020-02-10,114.90175430312262,107.08146802492101,119.40243327533408,116.0891081144006,124.12023826955362,119.30547262876675
2020-02-11,115.00838225437927,104.13127655359463,122.52551514853828,116.0891081144006,121.31816300281629,117.98828536517907
2020-02-12,115.66108187357197,105.92551336419807,122.341081357547,116.58414769385406,121.49576281981032,117.45608608535998
2020-02-13,115.26199657273419,107.1216755936992,122.40255928787742,120.04949900745054,120.83799790066433,119.55827064618038
