Date,Medtronic plc,Johnson & Johnson,CVS,3M,General Electric Company
2019-11-26,100.0,100.0,100.0,100.0,100.0
2019-11-27,101.02398183734874,100.4228344451824,100.13343874743958,100.81546122591648,103.125
2019-11-29,100.05389113349698,100.23329226847405,100.44034559806923,100.31909709434727,102.08333333333334
2019-12-02,99.62274499914228,100.13851644147434,100.81398583362729,99.4327294080891,98.95833333333334
2019-12-03,99.69459804734396,99.99271415021819,99.69308380856461,97.60089931101811,100.0
2019-12-04,100.54792058658187,101.61114458862937,100.0800613803026,98.7649961298823,97.91666666666667
2019-12-05,100.78145601757916,101.74236351596362,99.38617695793495,97.12816810561172,97.91666666666667
2019-12-06,101.58088023747631,102.34016698024595,100.56044700932885,101.32364536603784,97.91666666666667
2019-12-09,99.82034941488638,102.42764602212796,100.06671470331692,100.35455061997403,91.66666666666667
2019-12-10,99.73951226552569,102.05584824751547,97.65145189080727,99.07227321567744,94.79166666666667
2019-12-11,100.35030898499399,102.77757385401435,97.8782973611343,99.7104585406951,93.75
2019-12-12,100.9431375021443,103.04002191499632,99.09260744348525,99.6040902819616,94.79166666666667
2019-12-13,101.96712023772352,103.06918937186252,98.19855088874964,99.73999703929556,93.75
2019-12-16,102.88331890984786,103.36807980415658,99.27942355806182,100.89818828572211,95.83333333333334
2019-12-17,102.71265242589324,104.65845308242989,97.8782973611343,100.41363648085178,91.66666666666667
2019-12-18,102.2186301586521,104.3887177136213,97.78489063824685,99.88181941456762,91.66666666666667
2019-12-19,101.94017422185979,105.96340899560268,98.87909797493732,101.72546124742567,90.625
2019-12-20,102.16473183931137,106.48100906147131,99.51961570537455,103.62819780483832,87.5
2019-12-23,102.29946730801281,106.75804048637515,99.25272886968965,105.46002790190931,88.54166666666667
2019-12-24,102.1916778551751,106.38623250544919,99.42620764808626,104.40229106901356,90.625
2019-12-26,101.12278808725792,106.31333682748907,99.38617695793495,104.34911078057344,90.625
2019-12-27,101.8144219560869,106.25501357811495,99.27942355806182,104.74502108952365,89.58333333333334
2019-12-30,101.43716695522919,105.92695568895466,98.34533631317488,103.90002136500672,91.66666666666667
2019-12-31,101.90424410483708,106.34249261999697,99.13263813363655,104.24865695795441,98.95833333333334
2020-01-02,102.90128082455257,106.41539923329299,98.95917003044647,106.36412235098085,95.83333333333334
2020-01-03,102.29048320685379,105.18334993341621,98.17186820998481,105.44820730244537,94.79166666666667
2020-01-06,103.19769777781913,105.05213100608196,98.55884578172281,105.54866112506437,97.91666666666667
2020-01-07,102.83840469166613,105.69366342048062,98.18521488697051,105.12320404474866,102.08333333333334
2020-01-08,104.6438497324378,105.67909099189463,96.95756880284043,106.73639973376825,102.08333333333334
2020-01-09,106.3415044221413,105.99256478811058,97.22444496331877,107.07321472725202,100.0
2020-01-10,106.56606203959288,105.75198666985474,96.22364434951575,106.64185148358688,101.04166666666667
2020-01-13,106.0001795383063,106.21856027146696,97.0910062158792,106.90776001672893,98.95833333333334
2020-01-14,105.12889508436369,106.81636373574928,98.51881509157151,107.17366854987102,95.83333333333334
2020-01-15,105.389382818838,107.17357814643987,100.44034559806923,106.23412116608452,94.79166666666667
2020-01-16,106.7636745394112,108.04111625050837,101.4811862428293,106.96094030516907,95.83333333333334
2020-01-17,106.91637192281735,108.74826869939884,101.44114621187227,107.16185681408395,94.79166666666667
2020-01-21,108.075090127098,108.82117531269485,99.53295170715367,106.0036655676574,93.75
2020-01-22,108.76672399592698,108.07756955715638,98.75900723888424,105.20002553211665,94.79166666666667
2020-01-23,108.65894083070256,108.28169509778662,98.11849084284786,105.02866465824415,95.83333333333334
2020-01-24,107.12296762556421,108.12860622772628,95.31625045860021,105.27093199245836,95.83333333333334
2020-01-27,107.09602160970049,108.44208075296466,94.70242741653514,103.78184077957434,93.75
2020-01-28,107.05110739151877,108.98884754667709,95.83666677777775,97.8431755089092,97.91666666666667
2020-01-29,106.32354340566704,109.74702573080155,94.14198174160711,95.72771011588277,92.70833333333334
2020-01-30,106.12593180407919,109.61580753248974,93.02107971654443,96.02907217465159,90.625
2020-01-31,103.69172723090402,108.52955979484668,90.49906350416161,93.7540670981284,86.45833333333334
2020-02-03,105.98221133598828,109.4772910910154,89.31144677578204,92.53087496379779,86.45833333333334
2020-02-04,107.77867227560095,110.51979894320624,90.57912355006341,92.91497294604912,89.58333333333334
2020-02-05,108.34456196273129,112.26216173014744,94.12863506462142,95.92271218868315,90.625
2020-02-06,108.9553586821996,111.92680705586947,94.52894863813854,96.25362101881748,90.625
2020-02-07,106.8445116887719,110.7312103336183,95.48971989619108,94.59316065929589,90.625
2020-02-10,107.23075079078863,110.70934111991458,97.74485994809554,94.63451975736027,88.54166666666667
2020-02-11,106.8445116887719,110.8041169469143,98.54549777033631,95.99361864902485,89.58333333333334
2020-02-12,104.63486563127879,110.14799023325786,98.41206035729755,96.79135311212795,88.54166666666667
2020-02-13,104.94026758393483,109.41896784164129,96.07685892509049,94.40406474984493,90.625
2020-02-14,105.389382818838,109.4481352985075,95.2361904126984,95.14270448839342,91.66666666666667
2020-02-18,101.19464832130336,108.72639875667272,96.07685892509049,93.88406828302473,93.75
2020-02-19,102.1916778551751,108.58059646541658,95.78328941064079,94.15588238860444,91.66666666666667
2020-02-20,102.27252219037953,108.16504859903839,95.9967975447879,93.69497237357378,94.79166666666667
2020-02-21,101.75154672143094,109.30232207191547,95.42300519287416,92.7317831999476,90.625
2020-02-24,100.01796101647423,106.37166007686318,90.63250091720039,90.14359546519164,87.5
