Date,Sony,Netflix,Blizzard,The stars group Inc,Nintendo
2020-03-27,59.32,357.119995,56.959998999999996,17.68,45.689999
2020-03-30,60.169998,370.959991,58.470001,18.17,48.139998999999996
2020-03-31,59.18,375.5,59.48,20.42,48.279999
2020-04-01,56.849998,364.079987,57.5,20.07,48.450001
2020-04-02,58.91,370.079987,60.779999,19.0,48.5
2020-04-03,57.48,361.76001,59.98,18.610001,48.040001000000004
2020-04-06,60.869999,379.959991,61.599998,19.870001000000002,50.09
2020-04-07,60.66,372.27999900000003,59.869999,19.639999,50.080002
2020-04-08,62.110001000000004,371.119995,61.07,20.5,50.52
2020-04-09,61.580002,370.72000099999997,60.459998999999996,21.65,50.490002000000004
2020-04-13,60.09,396.72000099999997,62.75,20.85,51.799999
2020-04-14,61.43,413.549988,63.279999,20.65,53.02
2020-04-15,62.07,426.75,65.709999,20.889999,54.09
2020-04-16,62.240002000000004,439.170013,68.050003,21.52,55.099998
2020-04-17,64.440002,422.959991,66.879997,25.290001,53.630001
2020-04-20,63.549999,437.48999000000003,66.5,24.940001000000002,52.900002
2020-04-21,62.049999,433.829987,65.720001,24.549999,55.119999
2020-04-22,62.68,421.420013,66.980003,24.6,54.849998
2020-04-23,62.060001,426.700012,65.879997,24.530001000000002,54.18
2020-04-24,62.959998999999996,424.98999000000003,66.650002,25.1,54.830002
