Date,UAL,JBLU,ALK,AAL,DAL
2020-03-30,30.16,8.79,28.33,12.25,28.67
2020-03-31,31.549999,8.95,28.469998999999998,12.19,28.530001000000002
2020-04-01,25.65,8.11,26.35,10.69,23.870001000000002
2020-04-02,23.42,7.63,24.66,10.06,22.68
2020-04-03,22.889999,7.48,24.690001000000002,9.39,22.48
2020-04-06,24.02,7.73,26.67,9.5,22.32
2020-04-07,24.48,8.76,29.030001000000002,10.22,22.25
2020-04-08,27.51,9.03,29.139999,11.33,23.23
2020-04-09,31.5,9.5,31.610001,12.51,24.389999
2020-04-13,28.91,9.03,29.51,11.56,23.25
2020-04-14,30.9,9.24,31.049999,11.95,24.540001
2020-04-15,31.860001,9.19,30.08,12.29,24.35
2020-04-16,28.209999,8.73,28.26,11.07,22.780001000000002
2020-04-17,29.08,8.98,29.93,11.57,24.27
2020-04-20,27.790001,8.63,29.23,11.06,23.639999
2020-04-21,27.879998999999998,8.33,28.290001,11.0,23.1
2020-04-22,25.879998999999998,7.86,27.530001000000002,10.27,22.469998999999998
2020-04-23,25.719998999999998,8.01,28.200001,10.25,22.48
2020-04-24,25.559998999999998,7.95,28.01,10.31,22.41
