Date,Medtronic plc,Johnson & Johnson,CVS,3M,General Electric Company
2020-04-01,84.110001,128.809998,58.34,133.139999,0.4
2020-04-02,86.150002,133.149994,55.41,137.91000400000001,0.39
2020-04-03,86.269997,134.169998,55.720001,133.78999299999998,0.4
2020-04-06,94.089996,139.759995,56.220001,140.699997,0.4
2020-04-07,94.459999,137.479996,56.869999,144.600006,0.41
2020-04-08,99.279999,143.259995,59.41,148.990005,0.44
2020-04-09,101.029999,141.229996,60.470001,147.779999,0.41
2020-04-13,99.519997,139.770004,58.959998999999996,146.399994,0.43
2020-04-14,101.199997,146.029999,61.560001,150.139999,0.42
2020-04-15,97.32,147.66000400000001,60.560001,145.16000400000001,0.42
2020-04-16,95.699997,149.669998,62.560001,144.899994,0.43
2020-04-17,103.33000200000001,152.020004,63.360001000000004,146.46000700000002,0.55
2020-04-20,101.540001,151.669998,62.34,143.669998,0.54
2020-04-21,97.610001,149.679993,60.25,141.630005,0.51
2020-04-22,96.08000200000001,152.990005,60.349998,143.610001,0.53
2020-04-23,95.83000200000001,155.509995,61.279999,144.330002,0.52
2020-04-24,99.300003,154.860001,62.310001,147.0,0.55
